customer_id,name,sent_at,campaign,status
eac10a5d-1b75-4878-9d64-974e07246088,Laura Willis,2025-12-13 11:35:10.250495,Churn_Retention_20_Percent,Sent
ac115d89-21db-4b6a-85eb-48834c287dfe,Trevor Mendez,2025-12-13 11:35:10.250691,Churn_Retention_20_Percent,Sent
c153e0ee-04c3-4379-9cd7-b628b5f5fedc,Lauren Adams,2025-12-13 11:35:10.250851,Churn_Retention_20_Percent,Sent
b5e036b4-7791-49e1-b23a-1b0cf859ecbb,Cynthia Kennedy,2025-12-13 11:35:10.251081,Churn_Retention_20_Percent,Sent
5594b0ea-c4dd-456b-9a26-b4c4a8270401,Benjamin Arias,2025-12-13 11:35:10.251234,Churn_Retention_20_Percent,Sent
9893c7f1-2614-48ef-baee-c6a69c7e8603,Kyle Page,2025-12-13 11:35:10.251849,Churn_Retention_20_Percent,Sent
bb28d791-935e-4a7c-bea2-196e39265287,Laura Liu,2025-12-13 11:35:10.251988,Churn_Retention_20_Percent,Sent
261804b6-ddb2-43bc-ae27-1c1996fd15e6,Katrina Miller,2025-12-13 11:35:10.252080,Churn_Retention_20_Percent,Sent
7c785d29-4b01-4d71-9787-d3ab40a0f6a4,Olivia Robinson,2025-12-13 11:35:10.252158,Churn_Retention_20_Percent,Sent
6ebbb2d8-77ca-4d93-bdf9-8c763f9c9251,Michael Duncan,2025-12-13 11:35:10.252234,Churn_Retention_20_Percent,Sent
21943bf3-b7f8-4cfd-aace-c189a923b730,Deborah Ellis,2025-12-13 11:35:10.252309,Churn_Retention_20_Percent,Sent
9c911823-963a-4ae3-aa6d-c6ac809c2c66,Jerry Sanchez,2025-12-13 11:35:10.252382,Churn_Retention_20_Percent,Sent
36704879-00cf-457e-ae2d-fab110aa073f,Lisa Orozco,2025-12-13 11:35:10.252466,Churn_Retention_20_Percent,Sent
c50d6ad8-43cb-46f6-a7bc-d01f2896ff16,Andrew Sanchez,2025-12-13 11:35:10.252539,Churn_Retention_20_Percent,Sent
