customer_id,name,age,city,join_date,is_churn
7e2510b2-3773-4756-a0d5-4b7d5b12945c,Melissa Ashley,19,Kimberlymouth,2024-11-08,0
e8761726-061f-4a03-bde0-b4f80a8ac0f4,Amy Rich,48,Lake Deborahberg,2024-09-10,0
d4bb9c3e-d876-4cab-b4ca-3f6af3d06106,Micheal Torres,31,Ramseyview,2025-11-29,0
ab250652-8688-4a2e-a5da-e1c6db31a56e,William Garcia,39,Paulview,2024-11-17,0
741bdece-2ee9-4d45-8ab1-0388f694dcd6,Christopher Walsh,64,Melissaborough,2025-01-27,0
eac10a5d-1b75-4878-9d64-974e07246088,Laura Willis,20,Port Justinshire,2025-08-30,1
49c482d6-25ff-43e8-9699-ad8e8df392fa,Karen Diaz,42,Jimmyborough,2025-09-03,0
8e1c0444-29db-472b-8a03-0ff735256e00,Caleb Boyd,50,Zacharymouth,2025-04-02,0
51b1ccd2-fc61-4556-a97f-80394b595eaf,Kevin Murphy,47,Brownshire,2024-07-29,0
e202315f-3f26-49e2-8a12-de0d64a204c4,Gary Hill,33,Lake Robert,2025-08-17,0
db5556ed-b626-4be7-9cff-1bded66a8170,Matthew Acevedo,59,Travismouth,2025-11-24,0
a553f9de-a250-487b-9fd9-2606f3e5888a,Lisa Hansen,71,Jameshaven,2024-02-10,0
65798b1d-9e4c-4939-b0f0-da9d3093878e,Amanda Sanchez,24,West Michael,2025-01-26,0
17b3d2ee-1619-4366-803e-cd37cf719638,Hannah Patrick,26,North Ana,2024-08-31,0
cad881d7-13f9-4d9c-8aaf-0e976def7fdc,Joseph Allison,47,Charlesstad,2024-09-17,0
342a18b6-5684-4681-bbfd-bac60b72cc62,Alyssa Gill,59,Victoriamouth,2025-05-08,0
ac115d89-21db-4b6a-85eb-48834c287dfe,Trevor Mendez,20,Lake Travisburgh,2025-03-08,1
1a2e1857-8df9-4384-a9b1-c0c3a02061a1,Kendra Walker,39,Lowestad,2025-02-15,0
55f0f8b5-b355-464b-9292-62c9b6940bed,Tracy Howe,32,New Linda,2025-02-25,0
dc0de256-9582-48bd-b23c-693b5e547772,Courtney Mooney,44,Hendersonside,2023-12-27,0
3c4ebb56-a19d-4b1f-a34e-e98e1eab00d2,Douglas Jenkins,48,Morganfurt,2025-06-23,0
b5285d54-b1ba-40d6-bf49-e3e9bbceffcd,Danny Foster,19,Tonyburgh,2024-05-05,0
c153e0ee-04c3-4379-9cd7-b628b5f5fedc,Lauren Adams,29,North Anthony,2025-08-23,1
cd548f90-9a2e-403d-9d7b-cbc96de87189,William Burke,51,Matthewfurt,2024-10-12,0
a6cede9a-aafe-4fc3-aa78-d919657908ac,Madeline Oconnor,71,Port Laurenfurt,2025-05-23,0
343e3f16-364a-4b69-8f9f-2dccdc6a02a9,Robert Garcia,39,Lake Eric,2024-02-06,0
be776b80-5ca2-41d0-bfcd-62e5b9c84853,Logan Richardson,47,Parkerberg,2024-02-01,0
b5e036b4-7791-49e1-b23a-1b0cf859ecbb,Cynthia Kennedy,66,Lake Sandra,2024-10-07,1
b1ccac3f-8d2f-4503-899c-fc136b22c75c,Sarah James,69,East Kelly,2024-07-15,0
7760bfa7-0cf6-4a33-9b11-b269162e75a9,Jonathan Bond,43,Gordonshire,2024-04-27,0
b2a295e0-c89c-4c59-b8a7-74461023d20a,Crystal Garcia,42,Josephtown,2025-01-23,0
2011d210-cc9d-4b1b-a4bf-72a033609eda,Hunter Mayo,31,North Gabriel,2025-11-22,0
5594b0ea-c4dd-456b-9a26-b4c4a8270401,Benjamin Arias,73,Smithtown,2024-04-10,1
a5d936da-4c0a-4339-b72e-99aa2a604f42,Bradley Jenkins,61,Barnesmouth,2025-04-30,0
477d3ded-329a-47ba-8110-9f93478372f9,Mark Rivera,57,West Paige,2025-07-28,0
9893c7f1-2614-48ef-baee-c6a69c7e8603,Kyle Page,50,Richardberg,2025-04-30,1
17fda740-2db6-4576-b404-0e76e32df4d6,Craig Mcguire,39,Port Jonathon,2025-05-03,0
bb28d791-935e-4a7c-bea2-196e39265287,Laura Liu,20,Hansenton,2024-03-02,1
3bf0f941-0920-4537-ba0e-5c633bf10a63,Micheal Miller,66,Lake Alexis,2025-10-26,0
f525b00a-9272-4c75-a303-a5a8bd9056a6,Richard Christensen,42,Lake Mark,2025-03-08,0
3b72c68a-df23-4ba1-8b7b-fdadd12b7829,Brittany Glover,51,Melissatown,2025-01-13,0
460b87e2-bafa-4e1a-bc44-4db35e99429f,Carrie Juarez,56,Jasonfort,2024-09-13,0
4501065e-483b-4fd3-864d-703f6c61fac7,David Espinoza,63,North John,2025-11-07,0
49e0feda-51a2-4560-9a8d-2900751c47de,Bryan Sullivan,70,Mirandahaven,2024-04-10,0
261804b6-ddb2-43bc-ae27-1c1996fd15e6,Katrina Miller,71,Lake Daniel,2025-05-11,1
7c785d29-4b01-4d71-9787-d3ab40a0f6a4,Olivia Robinson,39,Joeview,2024-05-07,1
ef63f932-0cc8-4e5b-9e8e-49207860d185,William Parsons,65,Lake Michael,2024-11-02,0
e004ad10-fac2-4d05-bb24-4a72dee47070,Michael Forbes,75,New Julia,2024-11-20,0
7cf48fdb-72c1-455f-bffd-5b9049c2f281,Leslie Simmons,53,Melissafort,2025-07-28,0
6ebbb2d8-77ca-4d93-bdf9-8c763f9c9251,Michael Duncan,35,Smithshire,2024-01-24,1
5162f4df-a5d3-46bd-83be-ed815e1243ca,Caitlin Williams,30,Jadehaven,2024-06-26,0
21943bf3-b7f8-4cfd-aace-c189a923b730,Deborah Ellis,37,Garychester,2025-08-29,1
24d0682e-7c8a-477c-a269-c1ec4bb65502,Joanna Harding,58,Port Timothy,2025-08-13,0
1b9d3d43-aeb2-4bb4-9fe6-88c29d7732e0,Paul Harper,18,Reedchester,2023-12-27,0
9c911823-963a-4ae3-aa6d-c6ac809c2c66,Jerry Sanchez,75,West Jordan,2025-08-28,1
36704879-00cf-457e-ae2d-fab110aa073f,Lisa Orozco,53,Leshire,2024-06-20,1
fb0e9d62-f660-4a74-a5f3-bbc7bdb56c3c,Stephen Meadows,22,New Arthur,2024-03-13,0
c50d6ad8-43cb-46f6-a7bc-d01f2896ff16,Andrew Sanchez,33,East Shawnside,2024-04-09,1
0da9e670-4d92-441c-bfd6-53d80cfb62f2,Gregory Wise,36,South Christinetown,2025-07-25,1
0c75bd18-a050-4840-ae28-e94ad1ccb536,Sarah Davis,61,Frenchville,2024-03-20,1
6f817a41-71b2-4d34-91c0-4900f376629e,Theresa Macias,71,Clairebury,2024-06-27,1
2a6a6dc3-84e3-42c4-b68d-fe4a03d535a1,Jennifer Brooks,36,Ruthtown,2025-04-26,0
e5ee4e61-4d97-4f9c-b821-39a28979be55,Lauren Webb,28,Lake Jamesport,2025-04-09,0
dd6c9d71-66ef-4090-8e3a-cdb56f151568,Christina Cooley,54,South Josephville,2025-02-18,0
0ac63a95-92cc-42ee-aae7-a0620a763f86,Michael Collins,40,Jamesstad,2025-02-25,0
248add06-cdd3-4016-82f0-fab790585e6f,Lindsey Smith,31,Rodriguezton,2024-04-02,0
108e23c5-21df-4d72-a591-18494d5cb562,Michael Robinson,41,West Travisfurt,2024-06-17,1
ebc40529-31c9-48f0-a4d4-57b47484a97a,Sandra Martinez,42,Joyport,2024-12-22,0
10265857-4f45-4b1b-a7c9-0ef21a64d1be,Ashley Newman,25,Ashleyview,2024-03-21,0
e496b776-74ef-4e80-91be-20f79c3ca68e,Rebecca Davis,70,Rubioland,2025-04-25,1
9e4444f8-71db-4482-834d-0adbb9361548,Andrea Wilson,32,West Mercedeshaven,2024-06-23,0
2908c66b-507c-4721-a22f-dced6da82e55,Jose Davis,53,Port Jessicastad,2024-04-27,1
996d6440-6f31-4929-9104-df578ce9d1b2,Courtney Ford,36,Andrewtown,2024-09-01,1
f5038ff5-3ce7-48f5-b557-8a07f50907fb,Bruce Gregory,44,Martinezburgh,2024-03-12,0
777f0d02-e8e9-4c4d-bd2f-80209110544b,Matthew Chen,32,Karenburgh,2025-04-01,0
6d13d977-f4b5-4451-b1fb-a7869b7ffc47,Jessica Wright,70,New Deanna,2024-12-05,0
be342684-2f99-4244-9639-9e19f4a9b5aa,Keith Sims,38,Randybury,2025-12-11,0
9c994c0a-6f2e-4c43-a7d3-c7dffeae9194,John Rodriguez,25,Ashleyport,2023-12-27,0
af101757-113e-4809-92df-bbf061510f92,Caitlyn Austin,22,Scottchester,2025-02-08,0
6d58e2dc-7812-48dd-969d-e6a962cc4c27,Meredith Frye,37,West Steven,2024-01-17,1
66ff062e-d909-4516-8011-c849efa5d89d,Lee Ruiz,27,Bryanview,2025-07-25,0
f32f3ffd-1671-451f-aedb-6611d7460e86,Anna Aguilar,52,Port Susan,2024-10-09,0
403fcede-ac9c-4e5e-829b-d275aa37fb29,Gary Ramirez PhD,19,Davisville,2024-01-02,0
4c49da5e-10de-4090-863f-d7fe8c53591a,Robert Smith,72,Port Sylvia,2024-09-10,1
ca91fba3-a7df-40fa-8ebc-fac6f9f7d035,Tommy Hodge,68,Sweeneyburgh,2025-06-23,0
9447e413-412f-48d6-8b81-956e4d2f1cd3,Karen Short,48,Brooksborough,2024-05-25,0
fae81048-d410-4383-9097-7bcd336fcf8e,Rebekah Bryant,58,Brockstad,2025-08-29,0
b8a0e3bc-8912-4fea-b5b3-3c2b038cc7f1,Katherine Ross,26,Murraymouth,2024-12-16,0
6f50419e-5f33-4953-9fb6-2439b5427576,Jennifer Garcia,71,Paulview,2024-02-14,0
35eacfae-58ae-4c15-b620-9244b4f91c10,Paige Williams,69,East Kristineville,2025-09-09,1
9372f346-1cb1-4976-b6dc-271fd56422c5,Richard Ramirez,27,Ericside,2024-06-02,0
8b28dc6f-79ce-4c98-afde-69a84b42bce9,Andrew Richardson,31,Taylorborough,2024-04-25,0
e9b522ba-df62-4fc4-a32a-dcbc65fd4bdc,Nichole Wood,51,South Rachel,2024-05-29,0
d58c73da-3c0d-4497-806f-1b246b6ffae1,Nathan Clayton,21,New Melissa,2025-04-25,0
56350e4f-bb8e-45ea-b39a-cbcabe37a3f9,Angela Newman,61,Crystalside,2024-02-10,0
c82616a5-a941-4df9-8408-12e32c6a1d48,Robin Hoover,69,Susanfort,2024-08-30,1
8d7752f2-191c-44b9-bc77-09367daaee12,Matthew Young,73,Lake Daniel,2024-07-16,0
2f9c419f-53ff-4a4f-805b-43312c8ae60a,Dana Norris,44,South Alyssatown,2024-09-27,0
63ff5335-47fa-4a6e-b6fb-28b6698bfcf0,Tyler Hernandez,55,East Steven,2024-08-31,0
6fb34370-ecad-4401-96ed-c55731f60c97,Nathan Cooper,45,West Erinberg,2025-08-01,0
54cb3bd5-fe12-4f3b-a46e-6407e72d64d3,Rachel Ross,54,Glenshire,2024-04-11,0
03ad004c-d897-4acb-9234-bf699fa196b2,Bethany Franklin,54,Markbury,2025-07-19,0
580f0799-7037-446a-9627-92fb5e777997,Jessica Grimes,48,West Thomas,2025-08-18,0
c583e007-0a4e-4889-9708-96d5656261dc,Megan Fischer,54,Roseshire,2024-06-22,1
f77795f3-0d2e-41a1-adc2-27e1e7d18daa,Glenn Todd,46,West Gregoryport,2024-09-27,1
24e5d2f6-052c-450a-9fb5-43f8d3fe071a,Jaime Wilson,56,Laneshire,2023-12-26,0
d083e073-6f60-46cb-bc12-d4c8d5de7e3e,Alicia King,18,Port Brandonville,2024-10-22,0
cd09a7a7-1f06-4f32-82a8-0f4d36af6b62,Christine Williams,46,New Jesse,2025-03-16,0
3c43bf7b-5ebd-4ea5-be01-66012fcdc823,Logan Anderson,49,Andersonport,2024-12-19,0
23616ecf-e776-4689-8c71-76979529dfef,Frederick Brady,58,Jacquelinestad,2024-05-21,0
a6f488c7-776e-4f33-ae0d-69c4a6a72e3b,Stacey Scott,41,East Charlesside,2024-08-25,0
85d9ce92-d9ff-4971-a34c-3712f43f5545,Christopher Cameron,75,Heatherberg,2024-04-27,0
41a2229f-e916-4440-b3dc-2445328830d1,Jaime Jacobs,19,Frankview,2024-02-23,0
a50eb1e0-d3e9-4e28-82ab-88c38e09d303,Jose Smith,37,New Todd,2024-05-02,0
76ad94b4-6fe4-492c-8b84-00a83ff09afb,Patrick Adams,37,East Stephenstad,2024-01-07,0
36535c15-3c08-4873-8ca7-2e0ed4e81496,Martha Wilson,72,Port Lindaview,2024-07-31,0
